seed,situations_per_regime,scenarios,signals,calls_per_pass,seeds,concurrency,cache_hit_rate,cache_hit_source,level8_passes,level8_calls,level8_hours,level9_passes,level9_calls,level9_hours,within_budget
42,25,100,2433,7300,3,10,0.936,"L6.8 upper bound, mock inflated",9,65700,0.99,144,1051200,15.77,True
42,25,100,2433,7300,3,25,0.0,supplied on the command line,9,65700,6.16,144,1051200,98.58,False
42,25,100,2433,7300,3,25,0.936,"L6.8 upper bound, mock inflated",9,65700,0.39,144,1051200,6.31,True
42,25,100,2433,7300,3,50,0.0,supplied on the command line,9,65700,3.08,144,1051200,49.29,False
42,25,100,2433,7300,3,50,0.936,"L6.8 upper bound, mock inflated",9,65700,0.2,144,1051200,3.15,True
42,25,100,2433,7300,5,1,0.0,supplied on the command line,15,109500,256.72,240,1752000,4107.47,False
42,25,100,2433,7300,5,1,0.936,"L6.8 upper bound, mock inflated",15,109500,16.43,240,1752000,262.88,False
42,25,100,2433,7300,5,10,0.0,supplied on the command line,15,109500,25.67,240,1752000,410.75,False
42,25,100,2433,7300,5,10,0.936,"L6.8 upper bound, mock inflated",15,109500,1.64,240,1752000,26.29,False
42,25,100,2433,7300,5,25,0.0,supplied on the command line,15,109500,10.27,240,1752000,164.3,False
42,25,100,2433,7300,5,25,0.936,"L6.8 upper bound, mock inflated",15,109500,0.66,240,1752000,10.52,True
42,25,100,2433,7300,5,50,0.0,supplied on the command line,15,109500,5.13,240,1752000,82.15,False
42,25,100,2433,7300,5,50,0.936,"L6.8 upper bound, mock inflated",15,109500,0.33,240,1752000,5.26,True
42,50,200,4867,14600,3,1,0.0,supplied on the command line,9,131400,308.06,144,2102400,4928.96,False
42,50,200,4867,14600,3,1,0.936,"L6.8 upper bound, mock inflated",9,131400,19.72,144,2102400,315.45,False
42,50,200,4867,14600,3,10,0.0,supplied on the command line,9,131400,30.81,144,2102400,492.9,False
42,50,200,4867,14600,3,10,0.936,"L6.8 upper bound, mock inflated",9,131400,1.97,144,2102400,31.55,False
42,50,200,4867,14600,3,25,0.0,supplied on the command line,9,131400,12.32,144,2102400,197.16,False
42,50,200,4867,14600,3,25,0.936,"L6.8 upper bound, mock inflated",9,131400,0.79,144,2102400,12.62,True
42,50,200,4867,14600,3,50,0.0,supplied on the command line,9,131400,6.16,144,2102400,98.58,False
42,50,200,4867,14600,3,50,0.936,"L6.8 upper bound, mock inflated",9,131400,0.39,144,2102400,6.31,True
42,50,200,4867,14600,5,1,0.0,supplied on the command line,15,219000,513.43,240,3504000,8214.93,False
42,50,200,4867,14600,5,1,0.936,"L6.8 upper bound, mock inflated",15,219000,32.86,240,3504000,525.76,False
42,50,200,4867,14600,5,10,0.0,supplied on the command line,15,219000,51.34,240,3504000,821.49,False
42,50,200,4867,14600,5,10,0.936,"L6.8 upper bound, mock inflated",15,219000,3.29,240,3504000,52.58,False
42,50,200,4867,14600,5,25,0.0,supplied on the command line,15,219000,20.54,240,3504000,328.6,False
42,50,200,4867,14600,5,25,0.936,"L6.8 upper bound, mock inflated",15,219000,1.31,240,3504000,21.03,True
42,50,200,4867,14600,5,50,0.0,supplied on the command line,15,219000,10.27,240,3504000,164.3,False
42,50,200,4867,14600,5,50,0.936,"L6.8 upper bound, mock inflated",15,219000,0.66,240,3504000,10.52,True
42,100,400,9733,29200,3,1,0.0,supplied on the command line,9,262800,616.12,144,4204800,9857.92,False
42,100,400,9733,29200,3,1,0.936,"L6.8 upper bound, mock inflated",9,262800,39.43,144,4204800,630.91,False
42,100,400,9733,29200,3,10,0.0,supplied on the command line,9,262800,61.61,144,4204800,985.79,False
42,100,400,9733,29200,3,10,0.936,"L6.8 upper bound, mock inflated",9,262800,3.94,144,4204800,63.09,False
42,100,400,9733,29200,3,25,0.0,supplied on the command line,9,262800,24.64,144,4204800,394.32,False
42,100,400,9733,29200,3,25,0.936,"L6.8 upper bound, mock inflated",9,262800,1.58,144,4204800,25.24,False
42,100,400,9733,29200,3,50,0.0,supplied on the command line,9,262800,12.32,144,4204800,197.16,False
42,100,400,9733,29200,3,50,0.936,"L6.8 upper bound, mock inflated",9,262800,0.79,144,4204800,12.62,True
42,100,400,9733,29200,5,1,0.0,supplied on the command line,15,438000,1026.87,240,7008000,16429.87,False
42,100,400,9733,29200,5,1,0.936,"L6.8 upper bound, mock inflated",15,438000,65.72,240,7008000,1051.51,False
42,100,400,9733,29200,5,10,0.0,supplied on the command line,15,438000,102.69,240,7008000,1642.99,False
42,100,400,9733,29200,5,10,0.936,"L6.8 upper bound, mock inflated",15,438000,6.57,240,7008000,105.15,False
42,100,400,9733,29200,5,25,0.0,supplied on the command line,15,438000,41.07,240,7008000,657.19,False
42,100,400,9733,29200,5,25,0.936,"L6.8 upper bound, mock inflated",15,438000,2.63,240,7008000,42.06,False
42,100,400,9733,29200,5,50,0.0,supplied on the command line,15,438000,20.54,240,7008000,328.6,False
42,100,400,9733,29200,5,50,0.936,"L6.8 upper bound, mock inflated",15,438000,1.31,240,7008000,21.03,True
