seed,situations_per_regime,scenarios,signals,calls_per_pass,seeds,concurrency,cache_hit_rate,cache_hit_source,level8_passes,level8_calls,level8_hours,level9_passes,level9_calls,level9_hours,within_budget
99,5,20,487,1460,3,1,0.7,supplied on the command line,9,13140,9.78,144,210240,156.4,False
99,5,20,487,1460,3,1,0.936,"L6.8 upper bound, mock inflated",9,13140,2.09,144,210240,33.37,False
99,5,20,487,1460,3,10,0.7,supplied on the command line,9,13140,0.98,144,210240,15.64,True
99,5,20,487,1460,3,10,0.936,"L6.8 upper bound, mock inflated",9,13140,0.21,144,210240,3.34,True
99,5,20,487,1460,3,25,0.7,supplied on the command line,9,13140,0.39,144,210240,6.26,True
99,5,20,487,1460,3,25,0.936,"L6.8 upper bound, mock inflated",9,13140,0.08,144,210240,1.33,True
99,5,20,487,1460,3,50,0.7,supplied on the command line,9,13140,0.2,144,210240,3.13,True
99,5,20,487,1460,3,50,0.936,"L6.8 upper bound, mock inflated",9,13140,0.04,144,210240,0.67,True
99,5,20,487,1460,5,1,0.7,supplied on the command line,15,21900,16.29,240,350400,260.67,False
99,5,20,487,1460,5,1,0.936,"L6.8 upper bound, mock inflated",15,21900,3.48,240,350400,55.61,False
99,5,20,487,1460,5,10,0.7,supplied on the command line,15,21900,1.63,240,350400,26.07,False
99,5,20,487,1460,5,10,0.936,"L6.8 upper bound, mock inflated",15,21900,0.35,240,350400,5.56,True
99,5,20,487,1460,5,25,0.7,supplied on the command line,15,21900,0.65,240,350400,10.43,True
99,5,20,487,1460,5,25,0.936,"L6.8 upper bound, mock inflated",15,21900,0.14,240,350400,2.22,True
99,5,20,487,1460,5,50,0.7,supplied on the command line,15,21900,0.33,240,350400,5.21,True
99,5,20,487,1460,5,50,0.936,"L6.8 upper bound, mock inflated",15,21900,0.07,240,350400,1.11,True
99,10,40,973,2920,3,1,0.7,supplied on the command line,9,26280,19.55,144,420480,312.8,False
99,10,40,973,2920,3,1,0.936,"L6.8 upper bound, mock inflated",9,26280,4.17,144,420480,66.73,False
99,10,40,973,2920,3,10,0.7,supplied on the command line,9,26280,1.96,144,420480,31.28,False
99,10,40,973,2920,3,10,0.936,"L6.8 upper bound, mock inflated",9,26280,0.42,144,420480,6.67,True
99,10,40,973,2920,3,25,0.7,supplied on the command line,9,26280,0.78,144,420480,12.51,True
99,10,40,973,2920,3,25,0.936,"L6.8 upper bound, mock inflated",9,26280,0.17,144,420480,2.67,True
99,10,40,973,2920,3,50,0.7,supplied on the command line,9,26280,0.39,144,420480,6.26,True
99,10,40,973,2920,3,50,0.936,"L6.8 upper bound, mock inflated",9,26280,0.08,144,420480,1.33,True
99,10,40,973,2920,5,1,0.7,supplied on the command line,15,43800,32.58,240,700800,521.34,False
99,10,40,973,2920,5,1,0.936,"L6.8 upper bound, mock inflated",15,43800,6.95,240,700800,111.22,False
99,10,40,973,2920,5,10,0.7,supplied on the command line,15,43800,3.26,240,700800,52.13,False
99,10,40,973,2920,5,10,0.936,"L6.8 upper bound, mock inflated",15,43800,0.7,240,700800,11.12,True
99,10,40,973,2920,5,25,0.7,supplied on the command line,15,43800,1.3,240,700800,20.85,True
99,10,40,973,2920,5,25,0.936,"L6.8 upper bound, mock inflated",15,43800,0.28,240,700800,4.45,True
99,10,40,973,2920,5,50,0.7,supplied on the command line,15,43800,0.65,240,700800,10.43,True
99,10,40,973,2920,5,50,0.936,"L6.8 upper bound, mock inflated",15,43800,0.14,240,700800,2.22,True
99,15,60,1460,4380,3,1,0.7,supplied on the command line,9,39420,29.33,144,630720,469.2,False
99,15,60,1460,4380,3,1,0.936,"L6.8 upper bound, mock inflated",9,39420,6.26,144,630720,100.1,False
99,15,60,1460,4380,3,10,0.7,supplied on the command line,9,39420,2.93,144,630720,46.92,False
99,15,60,1460,4380,3,10,0.936,"L6.8 upper bound, mock inflated",9,39420,0.63,144,630720,10.01,True
99,15,60,1460,4380,3,25,0.7,supplied on the command line,9,39420,1.17,144,630720,18.77,True
99,15,60,1460,4380,3,25,0.936,"L6.8 upper bound, mock inflated",9,39420,0.25,144,630720,4.0,True
99,15,60,1460,4380,3,50,0.7,supplied on the command line,9,39420,0.59,144,630720,9.38,True
99,15,60,1460,4380,3,50,0.936,"L6.8 upper bound, mock inflated",9,39420,0.13,144,630720,2.0,True
99,15,60,1460,4380,5,1,0.7,supplied on the command line,15,65700,48.88,240,1051200,782.01,False
99,15,60,1460,4380,5,1,0.936,"L6.8 upper bound, mock inflated",15,65700,10.43,240,1051200,166.83,False
99,15,60,1460,4380,5,10,0.7,supplied on the command line,15,65700,4.89,240,1051200,78.2,False
99,15,60,1460,4380,5,10,0.936,"L6.8 upper bound, mock inflated",15,65700,1.04,240,1051200,16.68,True
99,15,60,1460,4380,5,25,0.7,supplied on the command line,15,65700,1.96,240,1051200,31.28,False
99,15,60,1460,4380,5,25,0.936,"L6.8 upper bound, mock inflated",15,65700,0.42,240,1051200,6.67,True
99,15,60,1460,4380,5,50,0.7,supplied on the command line,15,65700,0.98,240,1051200,15.64,True
99,15,60,1460,4380,5,50,0.936,"L6.8 upper bound, mock inflated",15,65700,0.21,240,1051200,3.34,True
99,25,100,2433,7300,3,1,0.7,supplied on the command line,9,65700,48.88,144,1051200,782.01,False
99,25,100,2433,7300,3,1,0.936,"L6.8 upper bound, mock inflated",9,65700,10.43,144,1051200,166.83,False
99,25,100,2433,7300,3,10,0.7,supplied on the command line,9,65700,4.89,144,1051200,78.2,False
99,25,100,2433,7300,3,10,0.936,"L6.8 upper bound, mock inflated",9,65700,1.04,144,1051200,16.68,True
99,25,100,2433,7300,3,25,0.7,supplied on the command line,9,65700,1.96,144,1051200,31.28,False
99,25,100,2433,7300,3,25,0.936,"L6.8 upper bound, mock inflated",9,65700,0.42,144,1051200,6.67,True
99,25,100,2433,7300,3,50,0.7,supplied on the command line,9,65700,0.98,144,1051200,15.64,True
99,25,100,2433,7300,3,50,0.936,"L6.8 upper bound, mock inflated",9,65700,0.21,144,1051200,3.34,True
99,25,100,2433,7300,5,1,0.7,supplied on the command line,15,109500,81.46,240,1752000,1303.34,False
99,25,100,2433,7300,5,1,0.936,"L6.8 upper bound, mock inflated",15,109500,17.38,240,1752000,278.05,False
99,25,100,2433,7300,5,10,0.7,supplied on the command line,15,109500,8.15,240,1752000,130.33,False
99,25,100,2433,7300,5,10,0.936,"L6.8 upper bound, mock inflated",15,109500,1.74,240,1752000,27.8,False
99,25,100,2433,7300,5,25,0.7,supplied on the command line,15,109500,3.26,240,1752000,52.13,False
99,25,100,2433,7300,5,25,0.936,"L6.8 upper bound, mock inflated",15,109500,0.7,240,1752000,11.12,True
99,25,100,2433,7300,5,50,0.7,supplied on the command line,15,109500,1.63,240,1752000,26.07,False
99,25,100,2433,7300,5,50,0.936,"L6.8 upper bound, mock inflated",15,109500,0.35,240,1752000,5.56,True
99,50,200,4867,14600,3,1,0.7,supplied on the command line,9,131400,97.75,144,2102400,1564.01,False
99,50,200,4867,14600,3,1,0.936,"L6.8 upper bound, mock inflated",9,131400,20.85,144,2102400,333.66,False
99,50,200,4867,14600,3,10,0.7,supplied on the command line,9,131400,9.78,144,2102400,156.4,False
99,50,200,4867,14600,3,10,0.936,"L6.8 upper bound, mock inflated",9,131400,2.09,144,2102400,33.37,False
99,50,200,4867,14600,3,25,0.7,supplied on the command line,9,131400,3.91,144,2102400,62.56,False
99,50,200,4867,14600,3,25,0.936,"L6.8 upper bound, mock inflated",9,131400,0.83,144,2102400,13.35,True
99,50,200,4867,14600,3,50,0.7,supplied on the command line,9,131400,1.96,144,2102400,31.28,False
99,50,200,4867,14600,3,50,0.936,"L6.8 upper bound, mock inflated",9,131400,0.42,144,2102400,6.67,True
99,50,200,4867,14600,5,1,0.7,supplied on the command line,15,219000,162.92,240,3504000,2606.68,False
99,50,200,4867,14600,5,1,0.936,"L6.8 upper bound, mock inflated",15,219000,34.76,240,3504000,556.09,False
99,50,200,4867,14600,5,10,0.7,supplied on the command line,15,219000,16.29,240,3504000,260.67,False
99,50,200,4867,14600,5,10,0.936,"L6.8 upper bound, mock inflated",15,219000,3.48,240,3504000,55.61,False
99,50,200,4867,14600,5,25,0.7,supplied on the command line,15,219000,6.52,240,3504000,104.27,False
99,50,200,4867,14600,5,25,0.936,"L6.8 upper bound, mock inflated",15,219000,1.39,240,3504000,22.24,True
99,50,200,4867,14600,5,50,0.7,supplied on the command line,15,219000,3.26,240,3504000,52.13,False
99,50,200,4867,14600,5,50,0.936,"L6.8 upper bound, mock inflated",15,219000,0.7,240,3504000,11.12,True
99,100,400,9733,29200,3,1,0.7,supplied on the command line,9,262800,195.5,144,4204800,3128.02,False
99,100,400,9733,29200,3,1,0.936,"L6.8 upper bound, mock inflated",9,262800,41.71,144,4204800,667.31,False
99,100,400,9733,29200,3,10,0.7,supplied on the command line,9,262800,19.55,144,4204800,312.8,False
99,100,400,9733,29200,3,10,0.936,"L6.8 upper bound, mock inflated",9,262800,4.17,144,4204800,66.73,False
99,100,400,9733,29200,3,25,0.7,supplied on the command line,9,262800,7.82,144,4204800,125.12,False
99,100,400,9733,29200,3,25,0.936,"L6.8 upper bound, mock inflated",9,262800,1.67,144,4204800,26.69,False
