seed,situations_per_regime,scenarios,signals,calls_per_pass,seeds,concurrency,cache_hit_rate,cache_hit_source,level8_passes,level8_calls,level8_hours,level9_passes,level9_calls,level9_hours,within_budget
99,100,400,9733,29200,3,50,0.7,supplied on the command line,9,262800,3.91,144,4204800,62.56,False
99,100,400,9733,29200,3,50,0.936,"L6.8 upper bound, mock inflated",9,262800,0.83,144,4204800,13.35,True
99,100,400,9733,29200,5,1,0.7,supplied on the command line,15,438000,325.84,240,7008000,5213.37,False
99,100,400,9733,29200,5,1,0.936,"L6.8 upper bound, mock inflated",15,438000,69.51,240,7008000,1112.19,False
99,100,400,9733,29200,5,10,0.7,supplied on the command line,15,438000,32.58,240,7008000,521.34,False
99,100,400,9733,29200,5,10,0.936,"L6.8 upper bound, mock inflated",15,438000,6.95,240,7008000,111.22,False
99,100,400,9733,29200,5,25,0.7,supplied on the command line,15,438000,13.03,240,7008000,208.53,False
99,100,400,9733,29200,5,25,0.936,"L6.8 upper bound, mock inflated",15,438000,2.78,240,7008000,44.49,False
99,100,400,9733,29200,5,50,0.7,supplied on the command line,15,438000,6.52,240,7008000,104.27,False
99,100,400,9733,29200,5,50,0.936,"L6.8 upper bound, mock inflated",15,438000,1.39,240,7008000,22.24,True
