seed,configuration,ablated,convergence_threshold,situations_scored,U_enabled,S_enabled,A_enabled,P_enabled,abstention_rate,appropriate_abstention_rate,inappropriate_abstention_rate,premature_convergence_rate,correct_conclusion_rate,false_conclusion_rate,single_iteration_conclusion_rate,mean_iterations_to_termination,iteration_records,max_convergence,mean_convergence,analyses_terminated,convergence_fraction,termination_reasons
1024,S,S,0.3,66,True,False,True,True,0.0152,0.0217,0.0,0.6818,0.0758,0.9242,0.0,3,2889,0.29,0.1674,963,0.0,"{""max_iterations"": 963}"
42,S,S,0.5,66,True,False,True,True,0.0152,0.0217,0.0,0.6818,0.0606,0.9394,0.0,3,2889,0.4,0.1685,963,0.0,"{""max_iterations"": 963}"
123,S,S,0.5,66,True,False,True,True,0.0303,0.0435,0.0,0.6667,0.0758,0.9242,0.0,3,2889,0.45,0.1726,963,0.0,"{""max_iterations"": 963}"
456,S,S,0.5,66,True,False,True,True,0.0303,0.0435,0.0,0.6667,0.0758,0.9242,0.0,3,2889,0.45,0.1695,963,0.0,"{""max_iterations"": 963}"
789,S,S,0.5,66,True,False,True,True,0.0152,0.0217,0.0,0.6818,0.0758,0.9242,0.0,3,2889,0.45,0.1694,963,0.0,"{""max_iterations"": 963}"
1024,S,S,0.5,66,True,False,True,True,0.0152,0.0217,0.0,0.6818,0.0758,0.9242,0.0,3,2889,0.45,0.1702,963,0.0,"{""max_iterations"": 963}"
42,S,S,0.8,66,True,False,True,True,0.0152,0.0217,0.0,0.6818,0.0606,0.9394,0.0,3,2889,0.4,0.1685,963,0.0,"{""max_iterations"": 963}"
123,S,S,0.8,66,True,False,True,True,0.0303,0.0435,0.0,0.6667,0.0758,0.9242,0.0,3,2889,0.45,0.1726,963,0.0,"{""max_iterations"": 963}"
456,S,S,0.8,66,True,False,True,True,0.0303,0.0435,0.0,0.6667,0.0758,0.9242,0.0,3,2889,0.45,0.1695,963,0.0,"{""max_iterations"": 963}"
789,S,S,0.8,66,True,False,True,True,0.0152,0.0217,0.0,0.6818,0.0758,0.9242,0.0,3,2889,0.45,0.1694,963,0.0,"{""max_iterations"": 963}"
1024,S,S,0.8,66,True,False,True,True,0.0152,0.0217,0.0,0.6818,0.0758,0.9242,0.0,3,2889,0.45,0.1702,963,0.0,"{""max_iterations"": 963}"
42,A,A,0.3,66,True,True,False,True,0.197,0.2826,0.0,0.5,0.2576,0.7424,0.0,3,2889,0.29,0.1537,963,0.0,"{""max_iterations"": 963}"
123,A,A,0.3,66,True,True,False,True,0.1515,0.2174,0.0,0.5455,0.1818,0.8182,0.0,3,2889,0.29,0.1543,963,0.0,"{""max_iterations"": 963}"
456,A,A,0.3,66,True,True,False,True,0.1667,0.2391,0.0,0.5303,0.197,0.803,0.0,3,2889,0.29,0.1538,963,0.0,"{""max_iterations"": 963}"
789,A,A,0.3,66,True,True,False,True,0.197,0.2609,0.05,0.5152,0.2273,0.7576,0.0,3,2889,0.29,0.1534,963,0.0,"{""max_iterations"": 963}"
1024,A,A,0.3,66,True,True,False,True,0.197,0.2826,0.0,0.5,0.2273,0.7727,0.0,3,2889,0.29,0.154,963,0.0,"{""max_iterations"": 963}"
42,A,A,0.5,66,True,True,False,True,0.197,0.2826,0.0,0.5,0.2576,0.7424,0.0,3,2889,0.445,0.1601,963,0.0,"{""max_iterations"": 963}"
123,A,A,0.5,66,True,True,False,True,0.1515,0.2174,0.0,0.5455,0.1818,0.8182,0.0,3,2889,0.485,0.1608,963,0.0,"{""max_iterations"": 963}"
456,A,A,0.5,66,True,True,False,True,0.1667,0.2391,0.0,0.5303,0.197,0.803,0.0,3,2889,0.45,0.1598,963,0.0,"{""max_iterations"": 963}"
789,A,A,0.5,66,True,True,False,True,0.197,0.2609,0.05,0.5152,0.2273,0.7576,0.0,3,2889,0.485,0.1603,963,0.0,"{""max_iterations"": 963}"
1024,A,A,0.5,66,True,True,False,True,0.197,0.2826,0.0,0.5,0.2273,0.7727,0.0,3,2889,0.445,0.1606,963,0.0,"{""max_iterations"": 963}"
42,A,A,0.8,66,True,True,False,True,0.197,0.2826,0.0,0.5,0.2576,0.7424,0.0,3,2889,0.445,0.1601,963,0.0,"{""max_iterations"": 963}"
123,A,A,0.8,66,True,True,False,True,0.1515,0.2174,0.0,0.5455,0.1818,0.8182,0.0,3,2889,0.485,0.1608,963,0.0,"{""max_iterations"": 963}"
456,A,A,0.8,66,True,True,False,True,0.1667,0.2391,0.0,0.5303,0.197,0.803,0.0,3,2889,0.45,0.1598,963,0.0,"{""max_iterations"": 963}"
789,A,A,0.8,66,True,True,False,True,0.197,0.2609,0.05,0.5152,0.2273,0.7576,0.0,3,2889,0.485,0.1603,963,0.0,"{""max_iterations"": 963}"
1024,A,A,0.8,66,True,True,False,True,0.197,0.2826,0.0,0.5,0.2273,0.7727,0.0,3,2889,0.445,0.1606,963,0.0,"{""max_iterations"": 963}"
42,P,P,0.3,66,True,True,True,False,0.197,0.2826,0.0,0.5303,0.2273,0.7727,0.0,3,2558,0.425,0.1445,963,0.3074,"{""max_iterations"": 667, ""converged"": 296}"
123,P,P,0.3,66,True,True,True,False,0.1515,0.2174,0.0,0.5455,0.2121,0.7879,0.0,3,2578,0.42,0.1463,963,0.3136,"{""max_iterations"": 661, ""converged"": 302}"
456,P,P,0.3,66,True,True,True,False,0.1818,0.2609,0.0,0.5152,0.2121,0.7879,0.0,3,2552,0.45,0.1448,963,0.2991,"{""max_iterations"": 675, ""converged"": 288}"
789,P,P,0.3,66,True,True,True,False,0.197,0.2609,0.05,0.5152,0.2273,0.7576,0.0,3,2575,0.445,0.1454,963,0.3032,"{""max_iterations"": 671, ""converged"": 292}"
1024,P,P,0.3,66,True,True,True,False,0.197,0.2826,0.0,0.5,0.2273,0.7727,0.0,3,2564,0.425,0.1454,963,0.3053,"{""max_iterations"": 669, ""converged"": 294}"
42,P,P,0.5,66,True,True,True,False,0.197,0.2826,0.0,0.5,0.2576,0.7424,0.0,3,2889,0.445,0.1601,963,0.0,"{""max_iterations"": 963}"
123,P,P,0.5,66,True,True,True,False,0.1515,0.2174,0.0,0.5455,0.1818,0.8182,0.0,3,2889,0.485,0.1608,963,0.0,"{""max_iterations"": 963}"
