seed,convergence_threshold,metric,switch,tier,effect_mean,effect_sd,seeds
42,0.8,false_conclusion_rate,U,carried,0.0985,0.008,5
42,0.8,false_conclusion_rate,S,carried,0.0712,0.0211,5
42,0.8,false_conclusion_rate,A,carried,0.003,0.0028,5
42,0.8,false_conclusion_rate,P,carried,0.0,0.0,5
42,0.8,single_iteration_conclusion_rate,U,dead,0.0,0.0,5
42,0.8,single_iteration_conclusion_rate,S,dead,0.0,0.0,5
42,0.8,single_iteration_conclusion_rate,A,dead,0.0,0.0,5
42,0.8,single_iteration_conclusion_rate,P,dead,0.0,0.0,5
42,0.8,mean_iterations_to_termination,U,dead,0,0.0,5
42,0.8,mean_iterations_to_termination,S,dead,0,0.0,5
42,0.8,mean_iterations_to_termination,A,dead,0,0.0,5
42,0.8,mean_iterations_to_termination,P,dead,0,0.0,5
