seed,convergence_threshold,regime,metric,switch,effect_mean,effect_sd
42,0.8,clear,abstention_rate,U,-0.005,0.01
42,0.8,ambiguous,abstention_rate,U,-0.04,0.0255
42,0.8,sparse,abstention_rate,U,-0.55,0.0158
42,0.8,unknown_attack,abstention_rate,U,-0.0063,0.0125
42,0.8,clear,abstention_rate,S,-0.005,0.01
42,0.8,ambiguous,abstention_rate,S,-0.04,0.0255
42,0.8,sparse,abstention_rate,S,-0.45,0.0158
42,0.8,unknown_attack,abstention_rate,S,-0.0063,0.0125
42,0.8,clear,abstention_rate,A,0.0,0.0
42,0.8,ambiguous,abstention_rate,A,0.0,0.0
42,0.8,sparse,abstention_rate,A,-0.02,0.0187
42,0.8,unknown_attack,abstention_rate,A,0.0,0.0
42,0.8,clear,abstention_rate,P,0.0,0.0
42,0.8,ambiguous,abstention_rate,P,0.0,0.0
42,0.8,sparse,abstention_rate,P,0.0,0.0
42,0.8,unknown_attack,abstention_rate,P,0.0,0.0
42,0.8,clear,appropriate_abstention_rate,U,0.0,0.0
42,0.8,ambiguous,appropriate_abstention_rate,U,-0.04,0.0255
42,0.8,sparse,appropriate_abstention_rate,U,-0.55,0.0158
42,0.8,unknown_attack,appropriate_abstention_rate,U,-0.0063,0.0125
42,0.8,clear,appropriate_abstention_rate,S,0.0,0.0
42,0.8,ambiguous,appropriate_abstention_rate,S,-0.04,0.0255
42,0.8,sparse,appropriate_abstention_rate,S,-0.45,0.0158
42,0.8,unknown_attack,appropriate_abstention_rate,S,-0.0063,0.0125
42,0.8,clear,appropriate_abstention_rate,A,0.0,0.0
42,0.8,ambiguous,appropriate_abstention_rate,A,0.0,0.0
42,0.8,sparse,appropriate_abstention_rate,A,-0.02,0.0187
42,0.8,unknown_attack,appropriate_abstention_rate,A,0.0,0.0
42,0.8,clear,appropriate_abstention_rate,P,0.0,0.0
42,0.8,ambiguous,appropriate_abstention_rate,P,0.0,0.0
42,0.8,sparse,appropriate_abstention_rate,P,0.0,0.0
42,0.8,unknown_attack,appropriate_abstention_rate,P,0.0,0.0
42,0.8,clear,inappropriate_abstention_rate,U,-0.005,0.01
42,0.8,ambiguous,inappropriate_abstention_rate,U,0.0,0.0
42,0.8,sparse,inappropriate_abstention_rate,U,0.0,0.0
42,0.8,unknown_attack,inappropriate_abstention_rate,U,0.0,0.0
42,0.8,clear,inappropriate_abstention_rate,S,-0.005,0.01
42,0.8,ambiguous,inappropriate_abstention_rate,S,0.0,0.0
42,0.8,sparse,inappropriate_abstention_rate,S,0.0,0.0
42,0.8,unknown_attack,inappropriate_abstention_rate,S,0.0,0.0
42,0.8,clear,inappropriate_abstention_rate,A,0.0,0.0
42,0.8,ambiguous,inappropriate_abstention_rate,A,0.0,0.0
42,0.8,sparse,inappropriate_abstention_rate,A,0.0,0.0
42,0.8,unknown_attack,inappropriate_abstention_rate,A,0.0,0.0
42,0.8,clear,inappropriate_abstention_rate,P,0.0,0.0
42,0.8,ambiguous,inappropriate_abstention_rate,P,0.0,0.0
42,0.8,sparse,inappropriate_abstention_rate,P,0.0,0.0
42,0.8,unknown_attack,inappropriate_abstention_rate,P,0.0,0.0
42,0.8,clear,premature_convergence_rate,U,0.0,0.0
42,0.8,ambiguous,premature_convergence_rate,U,0.04,0.0255
42,0.8,sparse,premature_convergence_rate,U,0.55,0.0158
42,0.8,unknown_attack,premature_convergence_rate,U,0.0063,0.0125
42,0.8,clear,premature_convergence_rate,S,0.0,0.0
42,0.8,ambiguous,premature_convergence_rate,S,0.04,0.0255
42,0.8,sparse,premature_convergence_rate,S,0.45,0.0158
42,0.8,unknown_attack,premature_convergence_rate,S,0.0063,0.0125
42,0.8,clear,premature_convergence_rate,A,0.0,0.0
42,0.8,ambiguous,premature_convergence_rate,A,0.0,0.0
42,0.8,sparse,premature_convergence_rate,A,0.02,0.0187
42,0.8,unknown_attack,premature_convergence_rate,A,0.0,0.0
42,0.8,clear,premature_convergence_rate,P,0.0,0.0
42,0.8,ambiguous,premature_convergence_rate,P,0.0,0.0
42,0.8,sparse,premature_convergence_rate,P,0.0,0.0
42,0.8,unknown_attack,premature_convergence_rate,P,0.0,0.0
