score,coverage,risk
negative_total_uncertainty,0.479997,0.0
negative_total_uncertainty,0.489999,5e-05
negative_total_uncertainty,0.5,0.000194
negative_total_uncertainty,0.510001,0.000381
negative_total_uncertainty,0.520003,0.001168
negative_total_uncertainty,0.530004,0.002178
negative_total_uncertainty,0.540006,0.003646
negative_total_uncertainty,0.549995,0.005966
negative_total_uncertainty,0.559997,0.00944
negative_total_uncertainty,0.569998,0.01292
negative_total_uncertainty,0.58,0.016972
negative_total_uncertainty,0.590001,0.023934
negative_total_uncertainty,0.600002,0.031839
negative_total_uncertainty,0.610004,0.038549
negative_total_uncertainty,0.620005,0.043788
negative_total_uncertainty,0.629995,0.050173
negative_total_uncertainty,0.639996,0.055864
negative_total_uncertainty,0.649998,0.062277
negative_total_uncertainty,0.659999,0.069361
negative_total_uncertainty,0.67,0.076343
negative_total_uncertainty,0.680002,0.083548
negative_total_uncertainty,0.690003,0.090086
negative_total_uncertainty,0.700005,0.096038
negative_total_uncertainty,0.709994,0.102526
negative_total_uncertainty,0.719996,0.108596
negative_total_uncertainty,0.729997,0.114
negative_total_uncertainty,0.739999,0.118618
negative_total_uncertainty,0.75,0.122659
negative_total_uncertainty,0.760001,0.127121
negative_total_uncertainty,0.770003,0.131088
negative_total_uncertainty,0.780004,0.135343
negative_total_uncertainty,0.790006,0.140106
negative_total_uncertainty,0.799995,0.14466
negative_total_uncertainty,0.809997,0.149026
negative_total_uncertainty,0.819998,0.153447
negative_total_uncertainty,0.83,0.158084
negative_total_uncertainty,0.840001,0.163465
negative_total_uncertainty,0.850002,0.16849
negative_total_uncertainty,0.860004,0.173892
negative_total_uncertainty,0.870005,0.178682
negative_total_uncertainty,0.879995,0.183752
negative_total_uncertainty,0.889996,0.188514
negative_total_uncertainty,0.899998,0.193238
negative_total_uncertainty,0.909999,0.197965
negative_total_uncertainty,0.92,0.202919
negative_total_uncertainty,0.930002,0.207832
negative_total_uncertainty,0.940003,0.212913
negative_total_uncertainty,0.950005,0.217655
negative_total_uncertainty,0.959994,0.222378
negative_total_uncertainty,0.969996,0.227402
negative_total_uncertainty,0.979997,0.232546
negative_total_uncertainty,0.989999,0.238237
negative_total_uncertainty,1.0,0.243924
negative_epistemic_uncertainty,0.010001,0.0
negative_epistemic_uncertainty,0.020003,0.0
negative_epistemic_uncertainty,0.030004,0.0
negative_epistemic_uncertainty,0.040006,0.0
negative_epistemic_uncertainty,0.049995,0.0
negative_epistemic_uncertainty,0.059997,0.0
negative_epistemic_uncertainty,0.069998,0.0
negative_epistemic_uncertainty,0.08,0.0
negative_epistemic_uncertainty,0.090001,0.0
negative_epistemic_uncertainty,0.100002,0.0
negative_epistemic_uncertainty,0.110004,0.0
negative_epistemic_uncertainty,0.120005,0.0
negative_epistemic_uncertainty,0.129995,0.0
negative_epistemic_uncertainty,0.139996,0.0
negative_epistemic_uncertainty,0.149998,0.0
negative_epistemic_uncertainty,0.159999,0.0
negative_epistemic_uncertainty,0.17,0.0
negative_epistemic_uncertainty,0.180002,0.0
negative_epistemic_uncertainty,0.190003,0.0
negative_epistemic_uncertainty,0.200005,0.0
negative_epistemic_uncertainty,0.209994,0.0
negative_epistemic_uncertainty,0.219996,0.0
negative_epistemic_uncertainty,0.229997,0.0
negative_epistemic_uncertainty,0.239999,0.0
negative_epistemic_uncertainty,0.25,0.0
negative_epistemic_uncertainty,0.260001,0.0
negative_epistemic_uncertainty,0.270003,0.0
negative_epistemic_uncertainty,0.280004,0.0
negative_epistemic_uncertainty,0.290006,0.0
negative_epistemic_uncertainty,0.299995,0.0
negative_epistemic_uncertainty,0.309997,0.0
negative_epistemic_uncertainty,0.319998,0.0
negative_epistemic_uncertainty,0.33,0.0
negative_epistemic_uncertainty,0.340001,0.0
negative_epistemic_uncertainty,0.350002,0.0
negative_epistemic_uncertainty,0.360004,0.0
negative_epistemic_uncertainty,0.370005,0.0
negative_epistemic_uncertainty,0.379995,0.0
negative_epistemic_uncertainty,0.389996,0.0
negative_epistemic_uncertainty,0.399998,0.0
negative_epistemic_uncertainty,0.409999,0.0
negative_epistemic_uncertainty,0.42,0.0
negative_epistemic_uncertainty,0.430002,0.0
negative_epistemic_uncertainty,0.440003,0.000525
negative_epistemic_uncertainty,0.450005,0.00162
negative_epistemic_uncertainty,0.459994,0.003382
negative_epistemic_uncertainty,0.469996,0.005921
negative_epistemic_uncertainty,0.479997,0.010178
negative_epistemic_uncertainty,0.489999,0.01803
negative_epistemic_uncertainty,0.5,0.025131
negative_epistemic_uncertainty,0.510001,0.031024
negative_epistemic_uncertainty,0.520003,0.036901
negative_epistemic_uncertainty,0.530004,0.043336
negative_epistemic_uncertainty,0.540006,0.048902
negative_epistemic_uncertainty,0.549995,0.054466
negative_epistemic_uncertainty,0.559997,0.058007
negative_epistemic_uncertainty,0.569998,0.064216
negative_epistemic_uncertainty,0.58,0.06864
negative_epistemic_uncertainty,0.590001,0.074542
negative_epistemic_uncertainty,0.600002,0.080084
negative_epistemic_uncertainty,0.610004,0.084907
negative_epistemic_uncertainty,0.620005,0.090653
negative_epistemic_uncertainty,0.629995,0.0967
negative_epistemic_uncertainty,0.639996,0.102309
negative_epistemic_uncertainty,0.649998,0.107802
negative_epistemic_uncertainty,0.659999,0.112981
