score,coverage,risk
negative_total_uncertainty,0.479996,0.0
negative_total_uncertainty,0.490004,0.0
negative_total_uncertainty,0.5,4.9e-05
negative_total_uncertainty,0.509996,0.000262
negative_total_uncertainty,0.520004,0.000841
negative_total_uncertainty,0.53,0.001375
negative_total_uncertainty,0.539997,0.002519
negative_total_uncertainty,0.550005,0.00477
negative_total_uncertainty,0.560001,0.008394
negative_total_uncertainty,0.569997,0.012274
negative_total_uncertainty,0.580005,0.017821
negative_total_uncertainty,0.590001,0.025486
negative_total_uncertainty,0.599998,0.03492
negative_total_uncertainty,0.610006,0.042371
negative_total_uncertainty,0.620002,0.050268
negative_total_uncertainty,0.629998,0.056296
negative_total_uncertainty,0.639994,0.062154
negative_total_uncertainty,0.650002,0.068129
negative_total_uncertainty,0.659999,0.074587
negative_total_uncertainty,0.669995,0.08136
negative_total_uncertainty,0.680003,0.088576
negative_total_uncertainty,0.689999,0.09546
negative_total_uncertainty,0.699995,0.10227
negative_total_uncertainty,0.710003,0.108748
negative_total_uncertainty,0.72,0.113835
negative_total_uncertainty,0.729996,0.118998
negative_total_uncertainty,0.740004,0.124298
negative_total_uncertainty,0.75,0.128698
negative_total_uncertainty,0.759996,0.133318
negative_total_uncertainty,0.770004,0.137453
negative_total_uncertainty,0.78,0.141407
negative_total_uncertainty,0.789997,0.145291
negative_total_uncertainty,0.800005,0.149485
negative_total_uncertainty,0.810001,0.153788
negative_total_uncertainty,0.819997,0.157942
negative_total_uncertainty,0.830005,0.162125
negative_total_uncertainty,0.840001,0.166992
negative_total_uncertainty,0.849998,0.171858
negative_total_uncertainty,0.860006,0.177174
negative_total_uncertainty,0.870002,0.182231
negative_total_uncertainty,0.879998,0.187241
negative_total_uncertainty,0.889994,0.192016
negative_total_uncertainty,0.900002,0.196939
negative_total_uncertainty,0.909999,0.201797
negative_total_uncertainty,0.919995,0.20668
negative_total_uncertainty,0.930003,0.211391
negative_total_uncertainty,0.939999,0.215733
negative_total_uncertainty,0.949995,0.220827
negative_total_uncertainty,0.960003,0.225787
negative_total_uncertainty,0.97,0.231249
negative_total_uncertainty,0.979996,0.236735
negative_total_uncertainty,0.990004,0.242071
negative_total_uncertainty,1.0,0.247413
negative_epistemic_uncertainty,0.009996,0.0
negative_epistemic_uncertainty,0.020004,0.0
negative_epistemic_uncertainty,0.03,0.0
negative_epistemic_uncertainty,0.039997,0.0
negative_epistemic_uncertainty,0.050005,0.0
negative_epistemic_uncertainty,0.060001,0.0
negative_epistemic_uncertainty,0.069997,0.0
negative_epistemic_uncertainty,0.080005,0.0
negative_epistemic_uncertainty,0.090001,0.0
negative_epistemic_uncertainty,0.099998,0.0
negative_epistemic_uncertainty,0.110006,0.0
negative_epistemic_uncertainty,0.120002,0.0
negative_epistemic_uncertainty,0.129998,0.0
negative_epistemic_uncertainty,0.139994,0.0
negative_epistemic_uncertainty,0.150002,0.0
negative_epistemic_uncertainty,0.159999,0.0
negative_epistemic_uncertainty,0.169995,0.0
negative_epistemic_uncertainty,0.180003,0.0
negative_epistemic_uncertainty,0.189999,0.0
negative_epistemic_uncertainty,0.199995,0.0
negative_epistemic_uncertainty,0.210003,0.0
negative_epistemic_uncertainty,0.22,0.0
negative_epistemic_uncertainty,0.229996,0.0
negative_epistemic_uncertainty,0.240004,0.0
negative_epistemic_uncertainty,0.25,0.0
negative_epistemic_uncertainty,0.259996,0.0
negative_epistemic_uncertainty,0.270004,0.0
negative_epistemic_uncertainty,0.28,0.0
negative_epistemic_uncertainty,0.289997,0.0
negative_epistemic_uncertainty,0.300005,0.0
negative_epistemic_uncertainty,0.310001,0.0
negative_epistemic_uncertainty,0.319997,0.0
negative_epistemic_uncertainty,0.330005,0.0
negative_epistemic_uncertainty,0.340001,0.0
negative_epistemic_uncertainty,0.349998,0.0
negative_epistemic_uncertainty,0.360006,0.0
negative_epistemic_uncertainty,0.370002,0.0
negative_epistemic_uncertainty,0.379998,0.0
negative_epistemic_uncertainty,0.389994,0.0
negative_epistemic_uncertainty,0.400002,0.0
negative_epistemic_uncertainty,0.409999,0.0
negative_epistemic_uncertainty,0.419995,0.0
negative_epistemic_uncertainty,0.430003,2.8e-05
negative_epistemic_uncertainty,0.439999,0.000359
negative_epistemic_uncertainty,0.449995,0.001053
negative_epistemic_uncertainty,0.460003,0.002772
negative_epistemic_uncertainty,0.47,0.010699
negative_epistemic_uncertainty,0.479996,0.016676
negative_epistemic_uncertainty,0.490004,0.023201
negative_epistemic_uncertainty,0.5,0.028664
negative_epistemic_uncertainty,0.509996,0.033175
negative_epistemic_uncertainty,0.520004,0.038353
negative_epistemic_uncertainty,0.53,0.044917
negative_epistemic_uncertainty,0.539997,0.050968
negative_epistemic_uncertainty,0.550005,0.056555
negative_epistemic_uncertainty,0.560001,0.061033
negative_epistemic_uncertainty,0.569997,0.066888
negative_epistemic_uncertainty,0.580005,0.07365
negative_epistemic_uncertainty,0.590001,0.079195
negative_epistemic_uncertainty,0.599998,0.083726
negative_epistemic_uncertainty,0.610006,0.088227
negative_epistemic_uncertainty,0.620002,0.093426
negative_epistemic_uncertainty,0.629998,0.098055
negative_epistemic_uncertainty,0.639994,0.102995
negative_epistemic_uncertainty,0.650002,0.10666
negative_epistemic_uncertainty,0.659999,0.111725
negative_epistemic_uncertainty,0.669995,0.11575
negative_epistemic_uncertainty,0.680003,0.12028
negative_epistemic_uncertainty,0.689999,0.124153
negative_epistemic_uncertainty,0.699995,0.129234
negative_epistemic_uncertainty,0.710003,0.133417
negative_epistemic_uncertainty,0.72,0.137806
negative_epistemic_uncertainty,0.729996,0.142025
negative_epistemic_uncertainty,0.740004,0.146456
negative_epistemic_uncertainty,0.75,0.150642
negative_epistemic_uncertainty,0.759996,0.154446
negative_epistemic_uncertainty,0.770004,0.158654
negative_epistemic_uncertainty,0.78,0.163145
negative_epistemic_uncertainty,0.789997,0.166646
negative_epistemic_uncertainty,0.800005,0.170695
negative_epistemic_uncertainty,0.810001,0.174482
negative_epistemic_uncertainty,0.819997,0.177983
negative_epistemic_uncertainty,0.830005,0.181808
negative_epistemic_uncertainty,0.840001,0.185717
negative_epistemic_uncertainty,0.849998,0.189992
negative_epistemic_uncertainty,0.860006,0.194376
negative_epistemic_uncertainty,0.870002,0.198872
negative_epistemic_uncertainty,0.879998,0.203059
negative_epistemic_uncertainty,0.889994,0.20711
negative_epistemic_uncertainty,0.900002,0.21142
negative_epistemic_uncertainty,0.909999,0.215424
negative_epistemic_uncertainty,0.919995,0.219354
negative_epistemic_uncertainty,0.930003,0.223054
negative_epistemic_uncertainty,0.939999,0.226845
negative_epistemic_uncertainty,0.949995,0.230582
negative_epistemic_uncertainty,0.960003,0.23391
negative_epistemic_uncertainty,0.97,0.237748
negative_epistemic_uncertainty,0.979996,0.240478
negative_epistemic_uncertainty,0.990004,0.244525
negative_epistemic_uncertainty,1.0,0.247413
