score,coverage,risk_mean,risk_std,seeds
calibrated_max_probability,0.189999,0.00271,0.001414,5
calibrated_max_probability,0.199995,0.002575,0.001343,5
calibrated_max_probability,0.210003,0.002452,0.001279,5
calibrated_max_probability,0.22,0.002341,0.001221,5
calibrated_max_probability,0.229996,0.002239,0.001168,5
calibrated_max_probability,0.240004,0.002146,0.001119,5
calibrated_max_probability,0.25,0.00206,0.001074,5
calibrated_max_probability,0.259996,0.001981,0.001033,5
calibrated_max_probability,0.270004,0.001907,0.000995,5
calibrated_max_probability,0.28,0.001839,0.000959,5
calibrated_max_probability,0.289997,0.001776,0.000926,5
calibrated_max_probability,0.300005,0.001717,0.000895,5
calibrated_max_probability,0.310001,0.001661,0.000866,5
calibrated_max_probability,0.319997,0.001609,0.000839,5
calibrated_max_probability,0.330005,0.001561,0.000814,5
calibrated_max_probability,0.340001,0.001515,0.00079,5
calibrated_max_probability,0.349998,0.001471,0.000767,5
calibrated_max_probability,0.360006,0.00143,0.000746,5
calibrated_max_probability,0.370002,0.001392,0.000726,5
calibrated_max_probability,0.379998,0.001355,0.000707,5
calibrated_max_probability,0.389994,0.001352,0.000672,5
calibrated_max_probability,0.400002,0.00133,0.000665,5
calibrated_max_probability,0.409999,0.002228,0.001338,5
calibrated_max_probability,0.419995,0.003187,0.001382,5
calibrated_max_probability,0.430003,0.003802,0.001168,5
calibrated_max_probability,0.439999,0.005631,0.00065,5
calibrated_max_probability,0.449995,0.007401,0.000692,5
calibrated_max_probability,0.460003,0.008064,0.000724,5
calibrated_max_probability,0.47,0.009138,0.001218,5
calibrated_max_probability,0.479996,0.010977,0.001288,5
calibrated_max_probability,0.490004,0.012344,0.001759,5
calibrated_max_probability,0.5,0.013589,0.001609,5
calibrated_max_probability,0.509996,0.015328,0.001316,5
calibrated_max_probability,0.520004,0.017364,0.000801,5
calibrated_max_probability,0.53,0.020295,0.002127,5
calibrated_max_probability,0.539997,0.022821,0.001895,5
calibrated_max_probability,0.550005,0.026306,0.002706,5
calibrated_max_probability,0.560001,0.029875,0.004469,5
calibrated_max_probability,0.569997,0.033472,0.004886,5
calibrated_max_probability,0.580005,0.038624,0.004257,5
calibrated_max_probability,0.590001,0.042416,0.004553,5
calibrated_max_probability,0.599998,0.04722,0.003758,5
calibrated_max_probability,0.610006,0.052928,0.002874,5
calibrated_max_probability,0.620002,0.058281,0.003222,5
calibrated_max_probability,0.629998,0.064667,0.003412,5
calibrated_max_probability,0.639994,0.071077,0.00354,5
calibrated_max_probability,0.650002,0.076198,0.002645,5
calibrated_max_probability,0.659999,0.082596,0.002248,5
calibrated_max_probability,0.669995,0.090421,0.001598,5
calibrated_max_probability,0.680003,0.096438,0.00228,5
calibrated_max_probability,0.689999,0.102653,0.002692,5
calibrated_max_probability,0.699995,0.108048,0.002382,5
calibrated_max_probability,0.710003,0.114011,0.003926,5
calibrated_max_probability,0.72,0.119708,0.005272,5
calibrated_max_probability,0.729996,0.126309,0.005065,5
calibrated_max_probability,0.740004,0.131133,0.004389,5
calibrated_max_probability,0.75,0.135976,0.004207,5
calibrated_max_probability,0.759996,0.14184,0.004171,5
calibrated_max_probability,0.770004,0.146246,0.003055,5
calibrated_max_probability,0.78,0.150083,0.003436,5
calibrated_max_probability,0.789997,0.153525,0.002926,5
calibrated_max_probability,0.800005,0.157143,0.002329,5
calibrated_max_probability,0.810001,0.162147,0.001828,5
calibrated_max_probability,0.819997,0.167141,0.001428,5
calibrated_max_probability,0.830005,0.170695,0.000506,5
calibrated_max_probability,0.840001,0.173603,0.001133,5
calibrated_max_probability,0.849998,0.176445,0.000801,5
calibrated_max_probability,0.860006,0.17979,0.001053,5
calibrated_max_probability,0.870002,0.184196,0.000546,5
calibrated_max_probability,0.879998,0.188873,0.000508,5
calibrated_max_probability,0.889994,0.194274,0.000253,5
calibrated_max_probability,0.900002,0.200785,0.000581,5
calibrated_max_probability,0.909999,0.207109,0.000532,5
calibrated_max_probability,0.919995,0.213068,0.000561,5
calibrated_max_probability,0.930003,0.219193,0.000649,5
calibrated_max_probability,0.939999,0.224786,0.000284,5
calibrated_max_probability,0.949995,0.230007,0.000415,5
calibrated_max_probability,0.960003,0.234841,0.000265,5
calibrated_max_probability,0.97,0.239771,0.00032,5
calibrated_max_probability,0.979996,0.244387,0.000358,5
calibrated_max_probability,0.990004,0.24904,0.000431,5
calibrated_max_probability,1.0,0.253641,0.000458,5
