score,coverage,risk_mean,risk_std,seeds
calibrated_max_probability,0.259996,0.0,0.0,5
calibrated_max_probability,0.270004,0.0,0.0,5
calibrated_max_probability,0.28,0.0,0.0,5
calibrated_max_probability,0.289997,0.0,0.0,5
calibrated_max_probability,0.300005,0.0,0.0,5
calibrated_max_probability,0.310001,0.0,0.0,5
calibrated_max_probability,0.319997,0.0,0.0,5
calibrated_max_probability,0.330005,0.0,0.0,5
calibrated_max_probability,0.340001,7e-06,1.4e-05,5
calibrated_max_probability,0.349998,4.2e-05,5.6e-05,5
calibrated_max_probability,0.360006,5.4e-05,7.9e-05,5
calibrated_max_probability,0.370002,5.3e-05,7.7e-05,5
calibrated_max_probability,0.379998,5.1e-05,7.5e-05,5
calibrated_max_probability,0.389994,5e-05,7.3e-05,5
calibrated_max_probability,0.400002,4.9e-05,7.1e-05,5
calibrated_max_probability,0.409999,4.7e-05,6.9e-05,5
calibrated_max_probability,0.419995,4.6e-05,6.7e-05,5
calibrated_max_probability,0.430003,7.9e-05,7.7e-05,5
calibrated_max_probability,0.439999,0.000105,6.4e-05,5
calibrated_max_probability,0.449995,0.000124,7.2e-05,5
calibrated_max_probability,0.460003,0.000137,9.4e-05,5
calibrated_max_probability,0.47,0.000171,0.000113,5
calibrated_max_probability,0.479996,0.000258,9.9e-05,5
calibrated_max_probability,0.490004,0.000461,0.000152,5
calibrated_max_probability,0.5,0.001015,0.000336,5
calibrated_max_probability,0.509996,0.002463,0.000977,5
calibrated_max_probability,0.520004,0.004424,0.001586,5
calibrated_max_probability,0.53,0.007173,0.002644,5
calibrated_max_probability,0.539997,0.009541,0.002972,5
calibrated_max_probability,0.550005,0.013921,0.003083,5
calibrated_max_probability,0.560001,0.017911,0.002471,5
calibrated_max_probability,0.569997,0.021117,0.002479,5
calibrated_max_probability,0.580005,0.025439,0.002098,5
calibrated_max_probability,0.590001,0.030571,0.002022,5
calibrated_max_probability,0.599998,0.036163,0.002774,5
calibrated_max_probability,0.610006,0.041658,0.002653,5
calibrated_max_probability,0.620002,0.046331,0.002681,5
calibrated_max_probability,0.629998,0.051561,0.001971,5
calibrated_max_probability,0.639994,0.057352,0.002017,5
calibrated_max_probability,0.650002,0.063271,0.002449,5
calibrated_max_probability,0.659999,0.069814,0.002207,5
calibrated_max_probability,0.669995,0.075737,0.002719,5
calibrated_max_probability,0.680003,0.080602,0.002448,5
calibrated_max_probability,0.689999,0.085018,0.00349,5
calibrated_max_probability,0.699995,0.090176,0.003635,5
calibrated_max_probability,0.710003,0.096835,0.00398,5
calibrated_max_probability,0.72,0.101621,0.004297,5
calibrated_max_probability,0.729996,0.106798,0.002709,5
calibrated_max_probability,0.740004,0.112481,0.002583,5
calibrated_max_probability,0.75,0.118823,0.002662,5
calibrated_max_probability,0.759996,0.124378,0.00204,5
calibrated_max_probability,0.770004,0.128658,0.001525,5
calibrated_max_probability,0.78,0.13364,0.002176,5
calibrated_max_probability,0.789997,0.13844,0.002663,5
calibrated_max_probability,0.800005,0.143585,0.003263,5
calibrated_max_probability,0.810001,0.149341,0.003005,5
calibrated_max_probability,0.819997,0.153866,0.00307,5
calibrated_max_probability,0.830005,0.157668,0.003392,5
calibrated_max_probability,0.840001,0.16266,0.003191,5
calibrated_max_probability,0.849998,0.167889,0.002284,5
calibrated_max_probability,0.860006,0.173005,0.00145,5
calibrated_max_probability,0.870002,0.177537,0.000687,5
calibrated_max_probability,0.879998,0.182206,0.001049,5
calibrated_max_probability,0.889994,0.187245,0.001155,5
